exec_plan,placement,iter_time,forward,overlap_sync,optimize
151,5,1.036673684,387.0039484,609.5580932,34.92293895
251,55,1.059921053,200.5278695,802.1334853,21.66473211
351,555,1.047615789,134.3826247,862.1621005,16.40403842
411,1111,3.089957895,292.2105153,2751.649706,31.80822526
451,5555,1.051594737,102.6889647,909.8409095,11.89476632
611,111111,3.100926316,205.4517274,2841.733946,22.70195421
651,555555,1.0723,71.28613842,941.6193084,8.857714211
811,11111111,3.120010526,163.7329432,2909.960684,18.50116947
851,55555555,1.144652632,55.73353211,984.9028079,7.95289
ga,2222,1.089273684,158.7012058,804.7140016,115.3996121
ga,233,1.089584211,156.1430879,801.5867537,115.8181242
ga,26,1.081378947,151.7844084,799.1645216,115.6652842
ga,224,1.076631579,148.0676874,797.77188,116.1222589
ga,1111112,1.111605263,158.1850547,819.7535584,115.9827089
ga,8,0.625568421,145.8681516,360.0775574,114.5148279
ga,44,0.821026316,145.0030921,544.1190068,115.88532
ga,111122,1.131763158,159.6672405,822.4190537,115.7904179
ga,11222,1.094605263,143.4295295,806.21314,116.5435426
ga,35,0.851205263,147.9879063,561.9200663,116.3422684
ga,11111111,1.154673684,149.1192763,824.9666821,115.9763579
gc,11111111,1.262636842,147.7755742,970.8401526,115.9303063
gc,11222,1.264705263,146.8623447,951.9019758,115.6621116
gc,8,0.768184211,144.2229253,503.1069837,116.4437963
gc,112,1.660273684,277.1722889,1256.136004,116.1694658
gc,111122,1.2293,146.6033084,947.5612632,115.9194026
gc,11,2.596147368,536.7741711,1897.264042,115.8373732
gc,4,1.258926316,275.0073111,863.5582805,115.5920779
gc,35,0.984152632,149.2991953,706.2319574,114.7652174
gc,224,1.237963158,142.9024242,943.9625989,116.2248668
gc,233,1.226547368,147.4338963,947.1895437,115.5584863
gc,26,1.220636842,146.0423726,945.3180584,115.2472242
gc,1111,1.696410526,282.6319105,1276.531997,115.7504895
gc,1,4.194105263,1056.117196,2986.837275,116.0272295
gc,1111112,1.254736842,155.3237684,963.9054595,115.4060363
gc,2,2.221347368,532.4291426,1568.129013,115.2295695
gc,22,1.649742105,278.1064758,1242.939221,115.5103011
gc,44,0.962878947,146.4787647,686.6411032,115.3644137
gc,2222,1.222515789,145.4970089,942.80603,116.2316163
zero-dp,8,0.530168421,141.3943516,299.3901658,79.28697895
zero-dp,2222,0.998189474,150.37061,479.4309016,353.7428258
zero-dp,111122,1.040257895,144.0217747,497.3278295,372.8896063
zero-dp,26,0.997747368,144.3647089,459.4191253,351.5837826
zero-dp,11222,1.025478947,149.0609895,491.1008774,363.1628311
zero-dp,233,0.999136842,148.3127184,476.3946526,356.5865579
zero-dp,112,1.396789474,398.3140247,680.3405158,306.4999958
zero-dp,11111111,1.142142105,172.5013879,504.6382074,398.1863321
zero-dp,35,0.711094737,142.7891379,344.0381479,204.0603911
zero-dp,1111112,1.067073684,152.3662116,502.51578,387.3518889
zero-dp,1111,1.405773684,404.05966,669.5951411,320.4289995
zero-dp,224,0.992136842,145.83156,474.9945353,353.3419063
zero-dp,44,0.701989474,147.3792353,339.7083905,196.0623016
zero-dp,22,1.286094737,395.9654879,597.0252442,278.6111216
zero-offload,11222,1.724268421,165.6927063,937.1271,568.7268779
zero-offload,8,1.209489474,141.2408368,601.8966616,460.2645711
zero-offload,4,1.715136842,344.9168447,834.9669232,529.7644268
zero-offload,112,2.077547368,278.1462158,1153.360779,631.0302084
zero-offload,22,2.035510526,278.8770453,1128.72534,612.6832579
zero-offload,35,1.404536842,144.3132221,739.1296179,498.1282511
zero-offload,2222,1.647536842,148.1424263,918.6826632,561.4871979
zero-offload,224,1.710726316,143.3564495,906.8257058,625.7152932
zero-offload,44,1.347768421,146.5848126,731.9126379,453.6307984
zero-offload,111122,1.712847368,156.3627853,938.5929984,594.1842726
zero-offload,26,1.739147368,143.1108274,883.7334479,695.7968163
zero-offload,1111112,1.704357895,155.4253221,950.3975037,580.8952353
zero-offload,1111,2.077031579,277.5114721,1159.534103,627.1772132
zero-offload,233,1.667942105,147.4661958,916.6868974,589.1588126
zero-offload,11111111,1.719194737,146.4477842,964.1004995,581.0074795
ga,4,1.0224,284.55424,616.33182,115.34595
ga,2,1.8306,568.98522,1140.11264,115.63373
zero-dp,1,3.6161,1135,2342.16118,134.39775
zero-dp,2,1.8805,571.04897,1194.63897,111.20701
zero-dp,4,0.9575,285.52628,597.46194,70.9343
zero-offload,2,2.9727,579.94795,1607.80191,780.82681
zero-offload,1,5.2202,1101.94874,3042.69004,1067.79432
