exec_plan,placement,iter_time,forward,overlap_sync,optimize
248,88888888,0.672942105,0,353.9403116,24.26722211
284,88888888,0.695715789,0,416.6599963,14.96056526
428,88888888,0.810710526,0,617.1023468,27.37168316
444,88888888,0.840978947,0,692.0076284,12.77453
188,88888888,0.859042105,0,229.1193763,25.13886789
244,8888,0.943142105,0,666.2368279,24.30927158
184,8888,0.945142105,0,402.1859168,25.18691632
228,8888,0.969484211,0,613.7159237,47.04988632
482,88888888,0.970484211,0,847.5501663,6.884661579
148,8888,0.972889474,0,349.3767911,47.80749211
282,8888,0.980705263,0,798.1275511,13.12180526
182,88,1.130784211,0,771.5461747,24.99260368
144,88,1.192405263,0,651.2232205,47.58792158
244,44444444,1.202894737,0,662.29902,24.39781263
818,88888888,1.204336842,0,1122.330025,25.84556421
228,44444444,1.234068421,0,603.5798347,46.97524842
424,8888,1.250663158,0,1180.727771,24.27025842
418,8888,1.250763158,0,1104.515992,47.79249789
824,88888888,1.272589474,0,1230.86962,14.52373211
224,88,1.289247368,0,1161.124054,46.72935211
242,88,1.345910526,0,1289.152848,24.07471737
442,8888,1.374957895,0,1339.90205,14.96763
418,44444444,1.453089474,0,1101.223107,47.73197684
842,88888888,1.458184211,0,1434.041488,7.096026316
424,44444444,1.4717,0,1176.849755,24.43322316
442,44444444,1.534305263,0,1341.402229,12.72898
281,88,1.569936842,0,1549.212506,12.65490632
148,44444444,1.586878947,0,343.4444358,47.88662316
242,4444,1.6486,0,1288.960846,24.27299368
481,8888,1.665710526,0,1649.003606,6.6642
224,4444,1.704321053,0,1159.091033,46.82320105
144,4444,1.719668421,0,650.6875674,47.94134526
881,88888888,1.871052632,0,1860.742744,4.043666842
224,22222222,2.227210526,0,1157.694403,47.22816053
814,44444444,2.244489474,0,2164.342793,26.37981105
414,4444,2.278626316,0,2145.100405,47.81184684
422,4444,2.384010526,0,2325.35947,24.33187053
822,44444444,2.443536842,0,2408.507674,13.24691263
441,4444,2.641705263,0,2617.14033,12.53979947
422,22222222,2.695721053,0,2322.660835,24.30761421
414,22222222,2.713326316,0,2143.528587,47.85379526
841,44444444,2.824642105,0,2807.645145,6.986154211
812,22222222,4.405505263,0,4339.316933,26.11983421
821,22222222,4.817184211,0,4795.226412,13.33338368
zero-offload,8,9.400914431,0.38112545,9.379553795,0.001778841
zero-offload,4,16.0981071,0.748806715,15.75833702,0.001831293
zero-offload,2,30.07203484,1.49706459,28.57168984,0.001793385
zero-offload,1,57.87485623,2.990142584,54.88155746,0.001740932
