exec_plan,placement,iter_time,forward,overlap_sync,optimize
ga,1111,0.421099705,0.021968323,0.333417584,0.048453948
ga,13,0.417201631,0.022645488,0.333414611,0.047480331
ga,2222,0.314091444,0.020566113,0.178781089,0.088848633
ga,11,0.736838902,0.022151035,0.652601663,0.043635915
ga,8,0.234030149,0.01984118,0.1763165,0.031853956
ga,4,0.372841222,0.020855511,0.330727142,0.031939422
ga,1111112,0.334235836,0.022386972,0.177362358,0.089509683
ga,11222,0.311199006,0.023088652,0.17705822,0.08478441
ga,224,0.305347218,0.020190744,0.178687755,0.080004299
ga,1115,0.302898701,0.021805118,0.178194719,0.081222716
ga,35,0.260211103,0.02175153,0.181023738,0.038538246
ga,111113,0.324680427,0.021675292,0.177971587,0.091424802
ga,17,0.292380571,0.02179589,0.177824651,0.079368689
ga,233,0.312555187,0.023125396,0.176496267,0.089285416
ga,2,0.705230264,0.020251246,0.647227862,0.031722041
ga,1133,0.317573323,0.021756845,0.178117205,0.085866479
ga,26,0.292933941,0.020387579,0.179082478,0.074582717
ga,1124,0.317631413,0.021884035,0.177456028,0.09259287
ga,22,0.426860837,0.021596726,0.334133443,0.055365801
ga,44,0.254557357,0.020608607,0.177575476,0.038544781
ga,111122,0.317210169,0.022196181,0.178036662,0.087808861
ga,116,0.305673066,0.022095133,0.178570467,0.078630167
ga,11111111,0.324889856,0.021817011,0.178083911,0.095411469
ga,134,0.300784434,0.021663596,0.17863843,0.080162189
ga,11123,0.309110656,0.021855018,0.17815179,0.083628626
ga,11114,0.311366123,0.022303104,0.177303637,0.085374397
ga,125,0.30139543,0.022220584,0.178049059,0.078674849
ga,112,0.418247265,0.022086059,0.333626256,0.04738889
ga,1223,0.311344638,0.022091277,0.177994181,0.080714366
gc,1111,0.538401996,0.021125836,0.445606961,0.047150191
gc,35,0.31628345,0.020935395,0.239071383,0.038085503
gc,111113,0.354447491,0.02096545,0.240555062,0.060895611
gc,11111111,0.384458205,0.021313794,0.240201585,0.053305458
gc,22,0.525240632,0.020502637,0.446392733,0.045282883
gc,44,0.314712609,0.01904454,0.237805801,0.039634803
gc,116,0.333470008,0.020595747,0.240016166,0.054227773
gc,1,1.760226067,0.021609082,1.700898689,0.031599143
gc,2222,0.345891532,0.019748463,0.240293419,0.050810772
gc,125,0.337915771,0.020754562,0.240241191,0.051439173
gc,26,0.327317294,0.020550812,0.239722617,0.048597378
gc,111122,0.343332094,0.020470591,0.24000158,0.051868663
gc,2,0.926074294,0.020074844,0.868358949,0.032390019
gc,11222,0.349556502,0.020858919,0.23960753,0.058412019
gc,13,0.528068094,0.021157475,0.445963397,0.04957272
gc,4,0.5028922,0.020250363,0.444523391,0.032595663
gc,233,0.337020019,0.020934498,0.239351581,0.052727503
gc,1133,0.335363051,0.021108852,0.239447117,0.048970517
gc,1115,0.333731203,0.020845553,0.239906886,0.051397001
gc,1223,0.414140645,0.020506719,0.240082558,0.068093721
gc,112,0.53019849,0.021520474,0.44519876,0.047587886
gc,1111112,0.390917974,0.021112765,0.244135085,0.053100081
gc,8,0.29625312,0.019642704,0.237287059,0.032361045
gc,11114,0.33941663,0.020330345,0.240182554,0.048813161
gc,11123,0.343242617,0.020755123,0.240650443,0.053282836
gc,1124,0.338950424,0.02047247,0.240114675,0.053206374
gc,17,0.339438901,0.020950598,0.239866425,0.059553749
gc,134,0.334040544,0.021095683,0.240160998,0.050903348
gc,224,0.335616518,0.019996853,0.240478726,0.049604135
gc,11,0.946585347,0.02130932,0.869793752,0.04437814
zero-dp,1124,0.339436713,0.020733847,0.229442007,0.067849412
zero-dp,11123,0.347119598,0.020186929,0.235933388,0.06882934
zero-dp,112,0.468477081,0.021239505,0.364604052,0.066094132
zero-dp,11,0.815616552,0.021022278,0.688397309,0.087159171
zero-dp,11111111,0.365229635,0.020048983,0.234325199,0.072801969
zero-dp,1133,0.34679253,0.02064444,0.231443139,0.066950489
zero-dp,8,0.217917204,0.018794579,0.180008019,0.015883053
zero-dp,111113,0.354954846,0.020456006,0.23878263,0.071526555
zero-dp,17,0.328013182,0.020443566,0.228917276,0.066756417
zero-dp,1223,0.343799058,0.02009173,0.233643406,0.068496171
zero-dp,11222,0.355213614,0.020832076,0.232851225,0.068553153
zero-dp,22,0.453304263,0.019352759,0.361879307,0.060550844
zero-dp,1111112,0.393817551,0.020213113,0.242690984,0.071703616
zero-dp,35,0.279120137,0.020446076,0.202070853,0.039683033
zero-dp,2,0.697693418,0.01855041,0.650461169,0.024887646
zero-dp,26,0.322948288,0.018864996,0.22357203,0.065233806
zero-dp,1115,0.352125014,0.020635142,0.239364666,0.067526593
zero-dp,116,0.333043926,0.020477435,0.228002296,0.06725481
zero-dp,224,0.331819969,0.019312185,0.227700051,0.065802728
zero-dp,11114,0.347697286,0.020395349,0.230824821,0.06809797
zero-dp,2222,0.336828176,0.01999503,0.229145751,0.066499009
zero-dp,1111,0.477957207,0.02086955,0.371783607,0.070935362
zero-dp,125,0.340337024,0.020555566,0.231930536,0.067230912
zero-dp,44,0.268033771,0.019294136,0.194435498,0.037367821
zero-dp,111122,0.352339787,0.020286967,0.237226528,0.070562938
zero-dp,13,0.458588586,0.021985012,0.362661011,0.061339659
zero-dp,233,0.365769036,0.020241289,0.225192098,0.065950548
zero-dp,4,0.373935671,0.020169188,0.331970145,0.017660856
zero-dp,134,0.342326837,0.020253069,0.234143411,0.067445643
zero-offload,35,0.394196258,0.019663152,0.256791844,0.10038223
zero-offload,134,0.449852747,0.020124534,0.280439279,0.125428031
zero-offload,11222,0.461361955,0.019839343,0.293102096,0.117599782
zero-offload,1124,0.460339154,0.019259691,0.291655723,0.12637287
zero-offload,2222,0.508696234,0.020272129,0.293450538,0.113016661
zero-offload,125,0.470269568,0.019418885,0.292997038,0.135923736
zero-offload,17,0.470436517,0.019888878,0.281246494,0.157301959
zero-offload,26,0.461660315,0.020077046,0.287273519,0.138730035
zero-offload,116,0.449194053,0.01937841,0.278659302,0.135540107
zero-offload,11114,0.455713048,0.019348201,0.289630301,0.124880328
zero-offload,1111,0.661211659,0.020535904,0.459566691,0.143222669
zero-offload,22,0.648132983,0.020618551,0.456924761,0.157900965
zero-offload,112,0.644774774,0.019976013,0.465253031,0.141825886
zero-offload,11123,0.449884134,0.020423735,0.288418503,0.115379235
zero-offload,11,1.067140355,0.020174601,0.78949638,0.246211697
zero-offload,13,0.683462536,0.020148614,0.454079235,0.156737664
zero-offload,1133,0.450675936,0.020167603,0.282747647,0.120792782
zero-offload,44,0.40111696,0.019659393,0.257821462,0.102492529
zero-offload,233,0.448120678,0.019483777,0.28762011,0.118349608
zero-offload,1223,0.458681836,0.019409853,0.296175059,0.120795418
zero-offload,224,0.505360407,0.020363513,0.287118842,0.143248516
zero-offload,2,0.920583599,0.019214223,0.730559658,0.167251755
zero-offload,11111111,0.453364849,0.02025687,0.288281104,0.112762563
zero-offload,111122,0.456795735,0.019456022,0.297872459,0.115687861
zero-offload,111113,0.449727367,0.019516678,0.288577753,0.115989348
zero-offload,4,0.544180828,0.0203335,0.391520304,0.128653498
zero-offload,8,0.364773624,0.019475067,0.21383775,0.101771355
zero-offload,1115,0.450730043,0.01915309,0.289911116,0.125672761
zero-offload,1111112,0.454497632,0.020808669,0.29173168,0.113920422
zero-offload,1,1.10083175,0.01962376,0.79031301,0.28706336
zero-dp,1,0.68361435,0.02071762,0.65194845,0.0305624
ga,1,0.70537019,0.02255583,0.64444637,0.03083825
