exec_plan,placement,iter_time,forward,overlap_sync,optimize
141,4,0.835078947,0,803.0794921,23.48968895
181,8,0.556510526,0,536.1192232,14.38632789
221,22,1.446347368,0,1405.372029,25.27915947
241,44,0.872821053,0,848.17368,14.49389211
281,88,0.593357895,0,576.8136226,9.255233158
321,222,1.494310526,0,1457.760222,18.49106632
341,444,0.917984211,0,896.5859784,10.31927
381,888,0.6426,0,628.7325432,6.357695263
411,1111,2.713831579,0,2668.622068,24.43066421
421,2222,1.527310526,0,1498.099603,13.16618947
441,4444,0.966336842,0,945.6567642,10.21062737
481,8888,0.703294737,0,690.1202958,6.139291053
611,111111,2.829752632,0,2794.707313,16.78380316
621,222222,1.602421053,0,1576.197999,9.156967368
641,444444,1.049336842,0,1034.726919,5.295152632
681,888888,0.785394737,0,775.0259189,3.594385263
811,11111111,2.951368421,0,2921.145602,12.80078316
821,22222222,1.712836842,0,1690.000898,7.128577368
841,44444444,1.155889474,0,1142.174082,4.393966842
881,88888888,0.892168421,0,881.9272389,2.795006316
ga,233,0.894605263,268.3330832,515.8369047,82.95891105
ga,4,0.408447368,96.43273737,220.4193932,83.14174053
ga,35,0.766073684,285.7413295,328.3033858,83.16166737
ga,112,0.840394737,214.6486989,533.4689853,83.30599895
ga,224,0.684942105,62.45285632,511.7813153,83.24566737
ga,11,0.916621053,227.3941168,597.2140342,83.39216684
ga,26,0.670952632,58.31205105,510.51136,83.43367842
ga,11222,0.828873684,192.6228247,525.7053626,83.35216421
ga,44,0.466521053,60.15806368,308.2832163,83.04304737
ga,8,0.320078947,64.49149632,162.8298253,83.04485579
ga,1111,0.800442105,156.2728374,548.8988095,83.12240368
ga,2222,0.676736842,60.95536158,513.4193021,83.21501105
ga,2,0.611389474,180.8644474,341.4741063,82.79834316
ga,22,0.709873684,96.18060211,520.2187237,83.06380421
ga,11111111,0.779410526,117.0091368,554.9165574,83.38558053
ga,1111112,0.835252632,184.07055,537.0526068,83.28558316
ga,111122,0.824563158,182.2396453,533.7939763,83.42586
gc,1111112,0.860584211,154.2754053,600.7927716,83.17475421
gc,8,0.358410526,55.94715368,215.2611574,83.09671684
gc,22,0.794836842,97.96972053,601.6120905,82.92070105
gc,1,1.3386,358.0486274,892.3710526,82.95349053
gc,44,0.517157895,59.30610737,357.8061053,83.06169526
gc,224,0.722794737,62.77207263,559.5141084,83.08428158
gc,11,1.094173684,248.1992616,753.0212911,83.03588263
gc,35,0.835147368,328.7376216,376.7572947,83.15849368
gc,2,0.772768421,185.4856011,497.67892,82.90976105
gc,233,0.921436842,239.7738016,582.6917574,82.90009737
gc,112,0.935931579,216.5689463,620.7408658,83.39420211
gc,4,0.485389474,95.39098526,301.6982958,82.83561263
gc,11222,0.902047368,218.5413337,585.1133621,83.13678474
gc,26,0.7091,56.14637053,556.9827816,83.29769105
gc,2222,0.716442105,53.70030842,558.6640211,83.25225368
gc,1111,0.881473684,143.4330679,644.4186658,83.13540474
gc,111122,0.9006,207.8179189,587.9592153,83.26760158
gc,11111111,0.826173684,113.8780868,597.7343247,83.32981526
zero-dp,26,0.645736842,55.11435632,288.0621968,288.9500926
zero-dp,22,0.624110526,93.15404158,312.6767816,205.6303658
zero-dp,35,0.693873684,312.4733347,192.3204842,166.8591626
zero-dp,8,0.241215789,54.71567053,114.8050453,65.51702474
zero-dp,2,0.592431579,181.8343721,313.0504074,88.45291632
zero-dp,4,0.335136842,93.93104895,177.6730132,56.10891368
zero-dp,112,0.7841,204.4732684,337.2806121,226.5829416
zero-dp,2222,0.677857895,61.73573,309.5621805,293.5410432
zero-dp,44,0.418863158,59.81196842,183.2153289,160.6642711
zero-dp,1111,0.758968421,155.3180595,345.9602537,244.3198395
zero-dp,233,0.919578947,285.2921484,311.9790047,294.1881863
zero-dp,111122,0.877652632,167.6588184,344.3723095,304.5294153
zero-dp,224,0.667268421,53.77185895,303.8511779,289.0969205
zero-dp,11111111,0.849410526,120.9913047,386.6717437,327.8472053
zero-dp,11,0.923168421,225.1870374,370.9855958,319.4890774
zero-dp,1111112,0.857457895,160.0662905,359.0952726,316.6252316
zero-dp,11222,0.857194737,208.5584711,331.9816453,295.0798958
zero-offload,11222,1.084942105,62.94418632,544.2089542,452.4769021
zero-offload,4,0.909284211,90.94859526,393.8131963,419.0637184
zero-offload,112,1.268410526,110.2700363,629.1816984,509.5021111
zero-offload,1111112,1.088405263,57.57847632,549.3346016,461.6300432
zero-offload,44,0.846426316,63.74075474,404.9806474,364.1730989
zero-offload,8,0.751621053,57.46224105,313.0366442,374.8962637
zero-offload,35,0.885,59.59567211,407.6110305,393.7829163
zero-offload,11111111,1.093136842,61.07607684,544.3669247,466.7875142
zero-offload,2,1.331336842,175.6595942,535.0983142,614.6912332
zero-offload,2222,1.067005263,63.26014158,538.1237458,450.2372237
zero-offload,1111,1.212242105,93.24629632,615.7076226,490.7062311
zero-offload,233,1.077321053,60.31647579,525.4557011,476.2203321
zero-offload,22,1.220752632,91.28103789,603.7308163,497.9553605
zero-offload,26,1.146015789,70.69309,510.2807979,547.5857511
zero-offload,1,2.213521053,423.1203479,802.5142395,976.1752695
zero-offload,224,1.094421053,55.71381684,532.1603195,485.0739053
zero-offload,11,1.722863158,176.7581637,747.82763,790.5804979
zero-offload,111122,1.133252632,58.39483368,547.2381484,454.2357668
zero-dp,1,1.081,356,619.81106,101.94945
ga,1,1.1014,409.58691,605.84211,83.07409
